frame,totalGape
301,13.388790957
302,13.764140494
303,14.44910681
304,15.336358645
305,16.27700404
306,17.116371337
307,17.716032927
308,17.961746304
309,17.774300024
310,17.12818247
311,16.077595728
312,14.763027013
313,13.383483632
314,12.129924418
315,11.112849518
316,10.329620416
317,9.699908025
318,9.142202708
319,8.6425038
320,8.262263805
321,8.089685965
322,8.172560265
323,8.477889811
324,8.905129631
325,9.333024727
326,9.667377913
327,9.859710785
328,9.903290949
329,9.823846266
330,9.671301708
331,9.513094871
332,9.416326187
333,9.43266457
334,9.588875681
335,9.895288304
336,10.363350656
337,11.015851602
338,11.873145406
339,12.922926824
340,14.093202583
341,15.250508142
342,16.224099449
343,16.837014401
344,16.930926676
345,16.388452964
346,15.164482291
347,13.327122492
348,11.086283508
349,8.779836547
350,6.796053373
351,5.443222145
352,4.833836055
353,4.85393597
354,5.240745879
355,5.715946276
356,6.095450906
357,6.324941392
358,6.442412751
359,6.519834736
360,6.628567318
361,6.835933347
362,7.206856175
363,7.795673924
364,8.623131712
365,9.663685298
366,10.853048292
367,12.112364738
368,13.36477283
369,14.530411682
370,15.504539569
371,16.150640798
372,16.324171182
373,15.923528462
374,14.947016436
375,13.523975922
376,11.898067646
377,10.359874105
378,9.159357318
379,8.433856628
380,8.182434224
381,8.282609758
382,8.541664621
383,8.768162399
384,8.840893265
385,8.745889348
386,8.567357736
387,8.436336488
388,8.467910323
389,8.721572373
390,9.197986145
391,9.868510818
392,10.706782941
393,11.701560574
394,12.838905477
395,14.065873846
396,15.257182606
397,16.214542613
398,16.713064288
399,16.592400834
400,15.848508333
401,14.673741366
402,13.396084321
403,12.343868239
404,11.708485236
405,11.484621319
406,11.511951355
407,11.582281446
408,11.547905799
409,11.376269136
410,11.13753314
411,10.945969848
412,10.896215532
413,11.020619951
414,11.28047328
415,11.590610224
416,11.863666229
417,12.051348578
418,12.166015287
419,12.280152436
420,12.504323829
421,12.941213229
422,13.619865714
423,14.440588051
424,15.177007425
425,15.555294441
426,15.382361866
427,14.645521203
428,13.520982037
429,12.28684824
430,11.204010104
431,10.430487198
432,10.001795312
433,9.85963553
434,9.903686906
435,10.034481185
436,10.176896377
437,10.280833663
438,10.316548424
439,10.272229943
440,10.159353401
441,10.022959082
442,9.943686969
443,10.021283947
444,10.344834781
445,10.957671159
446,11.838619627
447,12.905708747
448,14.031774606
449,15.060812894
450,15.823274019
451,16.165060453
452,15.99583893
453,15.330306176
454,14.295277329
455,13.092132168
456,11.934962161
457,10.983807131
458,10.301068683
459,9.843976596
460,9.503430206
461,9.176461584
462,8.83005503
463,8.512157775
464,8.306073779
465,8.26642103
466,8.382863167
467,8.598112183
468,8.850540197
469,9.10849807
470,9.380034784
471,9.699819797
472,10.11372364
473,10.666589956
474,11.393463133
475,12.305720394
476,13.372262762
477,14.505449377
478,15.567540339
479,16.40003571
480,16.864466015
481,16.87632274
482,16.42261654
483,15.566195291
484,14.433766663
485,13.186305346
486,11.976863657
487,10.909817881
488,10.024334908
489,9.312713412
490,8.748550695
491,8.309411412
492,7.983009763
493,7.76772686
494,7.676186554
495,7.734078804
496,7.965353134
497,8.367895919
498,8.890327536
499,9.43201159
500,9.87444743
501,10.138088804
502,10.230624986
503,10.25730004
504,10.386849218
505,10.786307988
506,11.554967273
507,12.685103611
508,14.062031988
509,15.498678195
510,16.78554632
511,17.735278701
512,18.21518189
513,18.172557731
514,17.65144785
515,16.782197635
516,15.748053168
517,14.745014313
518,13.951136453
519,13.504913375
520,13.479029653
521,13.852151814
522,14.503948224
523,15.236991234
524,15.830276425
525,16.110058393
526,16.014600409
527,15.622222569
528,15.1277796
529,14.772763162
530,14.757414121
531,15.166722888
532,15.938102437
533,16.88113306
534,17.746745773
535,18.31209696
536,18.453316849
537,18.180991551
538,17.629891592
539,16.998353228
540,16.461679191
541,16.099945505
542,15.88675312
543,15.741276552
544,15.60346259
545,15.476637375
546,15.415985291
547,15.480776834
548,15.686272422
549,15.980396118
550,16.25825281
551,16.410397231
552,16.378079664
553,16.186665187
554,15.934242834
555,15.749416898
556,15.733936609
557,15.917790601
558,16.241417369
559,16.577021966
560,16.782710701
561,16.757831145
562,16.476982578
563,15.98855417
564,15.389160072
565,14.7861314806
566,14.2631700085
567,13.8624473338
568,13.5953735283
569,13.4626755129
570,13.4670355893
571,13.6037327486
572,13.8400118218
573,14.1034733645
574,14.301218052
575,14.365631487
576,14.297267004
577,14.173892518
578,14.109495778
579,14.188656922
580,14.416783918
581,14.721204129
582,15.002145744
583,15.192525793
584,15.286051709
585,15.320851102
586,15.342067274
587,15.369846615
588,15.39127768
589,15.379539117
590,15.322218452
591,15.237999862
592,15.170734137
593,15.169081024
594,15.266380378
595,15.457978585
596,15.687199217
597,15.848210587
598,15.825736463
599,15.5581002607
600,15.0825044815
601,14.5286851991
602,14.0605535378
603,13.8012952884
604,13.7786615109
605,13.9149218586
606,14.0684547014
607,14.10524642899
608,13.9663568858
609,13.6958123427
610,13.4127483055
611,13.2418398216
612,13.2462799173
613,13.40450657
614,13.639309434
615,13.8691105596
616,14.0412703072
617,14.1387334023
618,14.1800342628
619,14.215387121
620,14.313900003
621,14.530297133
622,14.866230392
623,15.260114677
624,15.616170603
625,15.860471036
626,15.98582762
627,16.053707306
628,16.150940429
629,16.323637545
630,16.533175366
631,16.660976394
632,16.566623648
633,16.166029134
634,15.48194261
635,14.6400536278
636,13.8178084772
637,13.1742486757
638,12.801317208
639,12.707304243
640,12.831644397
641,13.075509401
642,13.3366335728
643,13.5380705307
644,13.642241844
645,13.652053284
646,13.6001657972
647,13.5338579854
648,13.495192124
649,13.5029501608
650,13.55108914976
651,13.622481091
652,13.7088514115
653,13.8186996923
654,13.9719326726
655,14.187199961
656,14.466687038
657,14.786905927
658,15.101987801
659,15.361215456
660,15.533943525
661,15.625047575
662,15.665886019
663,15.687874446
664,15.700118179
665,15.686626012
666,15.62465509
667,15.512657276
668,15.388605715
669,15.326271759
670,15.401766259
671,15.641521039
672,15.994617246
673,16.347562433
674,16.578830707
675,16.615196585
676,16.45856922
677,16.172100303
678,15.838048864
679,15.514648363
680,15.218274857
681,14.938620786
682,14.670454378
683,14.436554653
684,14.284919026
685,14.256177858
686,14.347031734
687,14.496943396
688,14.61252743
689,14.615784071
690,14.484879415
691,14.262419921
692,14.029663329
693,13.87047467
694,13.841099601
695,13.95479967
696,14.181116304
697,14.461566872
698,14.734023163
699,14.949768305
700,15.074829931
701,15.088845796
702,14.992783565
703,14.826202382
704,14.669547142
705,14.621627277
706,14.757598909
707,15.085839376
708,15.526960603
709,15.930158585
710,16.131362754
711,16.033192549
712,15.660774834
713,15.155209068
714,14.699355329
715,14.4209848416
716,14.3397085165
717,14.3881260704
718,14.4768739331
719,14.550938701
720,14.602661312
721,14.6455014245
722,14.6826270254
723,14.6981754047
724,14.6737737176
725,14.6085112829
726,14.523500548
727,14.448206309
728,14.403304465
729,14.394428595
730,14.419622171
731,14.479007786
732,14.574181323
733,14.697477384
734,14.823247076
735,14.915946626
736,14.955905179
737,14.96422758
738,15.004495525
739,15.150993484
740,15.440059263
741,15.834780001
742,16.229823656
743,16.495677022
744,16.538110388
745,16.337053044
746,15.947446886
747,15.463940629
748,14.9778705548
749,14.5526843996
750,14.2216088742
751,13.9948434311
752,13.8663585924
753,13.8215118043
754,13.849230814
755,13.950644798
756,14.130646526
757,14.378695904
758,14.65508712
759,14.89291509
760,15.020341286
761,14.993428408
762,14.820878356
763,14.570788239
764,14.347855082
765,14.254630774
766,14.353372595
767,14.645121317
768,15.066491007
769,15.50066403
770,15.809697846
771,15.883987539
772,15.690216802
773,15.294149633
774,14.836204394
775,14.467234073
776,14.282695626
777,14.29440142
778,14.445335884
779,14.651754796
780,14.835742934
781,14.944256385
782,14.951154163
783,14.855455247
784,14.675564951
785,14.441498218
786,14.191347038
787,13.96895324
788,13.821464929
789,13.789202835
790,13.884744635
791,14.077963606
792,14.302982477
793,14.491604451
794,14.619213233
795,14.728695311
796,14.908042927
797,15.232295677
798,15.705744235
799,16.242777836
800,16.694979879
801,16.908374938
